,Accuracy,AUC,Precision,Recall,F1 Score,MCC
Logistic Regression,0.8369565217391305,0.9029172644667622,0.8333333333333334,0.8823529411764706,0.8571428571428571,0.6691100232489893
Decision Tree,0.7880434782608695,0.781324725011956,0.7889908256880734,0.8431372549019608,0.8151658767772512,0.5691163075115128
KNN,0.8315217391304348,0.9020205643232904,0.8141592920353983,0.9019607843137255,0.8558139534883721,0.6594458988349826
Naive Bayes,0.8369565217391305,0.8898852223816356,0.8529411764705882,0.8529411764705882,0.8529411764705882,0.6700143472022956
Random Forest,0.8532608695652174,0.907520325203252,0.8504672897196262,0.8921568627450981,0.8708133971291866,0.7023026243101316
XGBoost,0.8369565217391305,0.889167862266858,0.8272727272727273,0.8921568627450981,0.8584905660377359,0.669475140994274
